INJECTOR,PRODUCER,ALLOCATION,TAU,TAUP,PRODUCTIVITY,LO,MODEL,ID,R2,BIAS_RATIO,CORRELATION,VARIANCE_RATIO,QUALITY_SCORE,SUBZONE
MG-0380_I,MG-0008_P,1.2856075343526165e-05,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,0,-0.2511362127810308,2.2074975664886297e-05,0.9708659408090662,2.233402066561197e-05,0.2581390810811235,ALLWARA
MG-0230_I,MG-0058_P,0.00012913752442049762,5.99952250203343,0.5040503931472088,2.7403936095538973e-15,0.12202281714021988,OneLayerCRMPSingleConstrained,1,-4.86213262025422,0.0003739718278183913,-0.1349770189114255,0.0023205986016626287,-0.062486556217449474,ALLWARA
MG-0270_I,MG-0058_P,6.680315184944025e-06,5.99952250203343,0.5040503931472088,2.7403936095538973e-15,0.12202281714021988,OneLayerCRMPSingleConstrained,2,-4.86213262025422,0.0003739718278183913,-0.1349770189114255,0.0023205986016626287,-0.062486556217449474,ALLWARA
MG-0380_I,MG-0068_P,3.804412619833802e-05,5.93592152191723,24.618831670288696,0.0,1.235315895829388,OneLayerCRMPSingleConstrained,3,0.9604003921145639,0.9372914247685389,0.9813781279008325,0.9576952502625689,0.9541242768705324,ALLWARA
MG-0230_I,MG-0109_P,0.9973985586273779,1.023405513460593,50.0,1.926523856504218e-14,1.4,OneLayerCRMPSingleConstrained,4,-0.1759619618320487,0.7918929278891188,0.4359564794106148,0.6337338989916819,0.5803939625834397,ALLWARA
MG-0621_I,MG-0109_P,0.9969784441658697,1.023405513460593,50.0,1.926523856504218e-14,1.4,OneLayerCRMPSingleConstrained,5,-0.1759619618320487,0.7918929278891188,0.4359564794106148,0.6337338989916819,0.5803939625834397,ALLWARA
MG-0380_I,MG-0278_P,0.9974704889822326,6.0,1.3731106005963416,0.0,1.0203904623210154,OneLayerCRMPSingleConstrained,6,-0.461249454932517,0.7271264465363477,-0.03919484801804893,0.4628621023236497,0.25951004675334843,ALLWARA
MG-0621_I,MG-0278_P,0.0005441676982919993,6.0,1.3731106005963416,0.0,1.0203904623210154,OneLayerCRMPSingleConstrained,7,-0.461249454932517,0.7271264465363477,-0.03919484801804893,0.4628621023236497,0.25951004675334843,ALLWARA
MG-0013_I,MG-0338_P,1.349329560125649e-05,5.085353001079705,50.0,0.0,1.4,OneLayerCRMPSingleConstrained,8,-0.8006971462887307,0.9058572198539067,0.34437636186798914,1.1747037322798328,0.5522618092274898,ALLWARA
MG-0270_I,MG-0338_P,7.834694435523869e-06,5.085353001079705,50.0,0.0,1.4,OneLayerCRMPSingleConstrained,9,-0.8006971462887307,0.9058572198539067,0.34437636186798914,1.1747037322798328,0.5522618092274898,ALLWARA
