DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
02/12/2015,I1,0.0,1,WARA,WARA1,Injector
02/01/2016,I1,293.71,1,WARA,WARA1,Injector
02/02/2016,I1,694.484,1,WARA,WARA1,Injector
02/03/2016,I1,2717.0,1,WARA,WARA1,Injector
02/04/2016,I1,3537.0,1,WARA,WARA1,Injector
02/05/2016,I1,454.0,1,WARA,WARA1,Injector
02/06/2016,I1,1298.0,1,WARA,WARA1,Injector
02/07/2016,I1,1387.0,1,WARA,WARA1,Injector
02/08/2016,I1,2040.0,1,WARA,WARA1,Injector
02/09/2016,I1,2008.84,1,WARA,WARA1,Injector
02/10/2016,I1,1085.17,1,WARA,WARA1,Injector
02/11/2016,I1,1401.87,1,WARA,WARA1,Injector
02/12/2016,I1,1196.87,1,WARA,WARA1,Injector
02/01/2017,I1,1444.16,1,WARA,WARA1,Injector
02/02/2017,I1,1160.61,1,WARA,WARA1,Injector
02/03/2017,I1,1329.0,1,WARA,WARA1,Injector
02/04/2017,I1,1374.48,1,WARA,WARA1,Injector
02/05/2017,I1,1881.0,1,WARA,WARA1,Injector
02/06/2017,I1,1539.0,1,WARA,WARA1,Injector
02/07/2017,I1,1002.0,1,WARA,WARA1,Injector
02/08/2017,I1,613.0,1,WARA,WARA1,Injector
02/09/2017,I1,1375.61,1,WARA,WARA1,Injector
02/10/2017,I1,1424.0,1,WARA,WARA1,Injector
02/11/2017,I1,1357.06,1,WARA,WARA1,Injector
02/12/2017,I1,1479.0,1,WARA,WARA1,Injector
02/01/2018,I1,784.419,1,WARA,WARA1,Injector
02/02/2018,I1,1289.9,1,WARA,WARA1,Injector
02/03/2018,I1,1477.0,1,WARA,WARA1,Injector
02/04/2018,I1,1386.03,1,WARA,WARA1,Injector
02/05/2018,I1,1398.0,1,WARA,WARA1,Injector
02/06/2018,I1,1355.42,1,WARA,WARA1,Injector
02/07/2018,I1,883.0,1,WARA,WARA1,Injector
02/08/2018,I1,1382.35,1,WARA,WARA1,Injector
02/09/2018,I1,1170.23,1,WARA,WARA1,Injector
02/10/2018,I1,1507.0,1,WARA,WARA1,Injector
02/11/2018,I1,1107.84,1,WARA,WARA1,Injector
02/12/2018,I1,1643.0,1,WARA,WARA1,Injector
02/01/2019,I1,1802.39,1,WARA,WARA1,Injector
02/02/2019,I1,1882.77,1,WARA,WARA1,Injector
02/03/2019,I1,2146.0,1,WARA,WARA1,Injector
02/04/2019,I1,2022.13,1,WARA,WARA1,Injector
02/05/2019,I1,1994.8,1,WARA,WARA1,Injector
02/06/2019,I1,2213.68,1,WARA,WARA1,Injector
02/07/2019,I1,2124.0,1,WARA,WARA1,Injector
02/08/2019,I1,2452.06,1,WARA,WARA1,Injector
02/09/2019,I1,2405.0,1,WARA,WARA1,Injector
02/10/2019,I1,2404.0,1,WARA,WARA1,Injector
02/11/2019,I1,2439.0,1,WARA,WARA1,Injector
02/12/2019,I1,2639.0,1,WARA,WARA1,Injector
02/01/2020,I1,2608.29,1,WARA,WARA1,Injector
02/02/2020,I1,2363.29,1,WARA,WARA1,Injector
02/03/2020,I1,2852.0,1,WARA,WARA1,Injector
02/04/2020,I1,2943.0,1,WARA,WARA1,Injector
02/05/2020,I1,3140.0,1,WARA,WARA1,Injector
02/06/2020,I1,762.0,1,WARA,WARA1,Injector
02/07/2020,I1,1720.0,1,WARA,WARA1,Injector
02/08/2020,I1,1790.0,1,WARA,WARA1,Injector
02/09/2020,I1,398.581,1,WARA,WARA1,Injector
02/10/2020,I1,1241.33,1,WARA,WARA1,Injector
02/11/2020,I1,1684.94,1,WARA,WARA1,Injector
02/12/2020,I1,1655.37,1,WARA,WARA1,Injector
02/01/2021,I1,1721.77,1,WARA,WARA1,Injector
02/02/2021,I1,1648.42,1,WARA,WARA1,Injector
02/03/2021,I1,1553.0,1,WARA,WARA1,Injector
02/04/2021,I1,1859.77,1,WARA,WARA1,Injector
02/05/2021,I1,1808.0,1,WARA,WARA1,Injector
02/06/2021,I1,1499.0,1,WARA,WARA1,Injector
02/07/2021,I1,1376.0,1,WARA,WARA1,Injector
02/08/2021,I1,1454.0,1,WARA,WARA1,Injector
02/09/2021,I1,1439.45,1,WARA,WARA1,Injector
02/10/2021,I1,1363.0,1,WARA,WARA1,Injector
02/11/2021,I1,1075.65,1,WARA,WARA1,Injector
02/12/2021,I1,1365.0,1,WARA,WARA1,Injector
02/01/2022,I1,1356.71,1,WARA,WARA1,Injector
02/02/2022,I1,1244.26,1,WARA,WARA1,Injector
02/03/2022,I1,610.0,1,WARA,WARA1,Injector
02/04/2022,I1,535.484,1,WARA,WARA1,Injector
02/05/2022,I1,1573.0,1,WARA,WARA1,Injector
02/06/2022,I1,1762.68,1,WARA,WARA1,Injector
02/07/2022,I1,1781.0,1,WARA,WARA1,Injector
02/08/2022,I1,1748.1,1,WARA,WARA1,Injector
02/09/2022,I1,1974.68,1,WARA,WARA1,Injector
02/10/2022,I1,1905.0,1,WARA,WARA1,Injector
02/11/2022,I1,1542.52,1,WARA,WARA1,Injector
02/12/2022,I1,1678.0,1,WARA,WARA1,Injector
02/01/2023,I1,1765.0,1,WARA,WARA1,Injector
